Metric,Classical,Quantum
Accuracy Mean,73.64798422222222,65.68338244444443
Accuracy Std,15.371974172105457,17.51019015886318
Latency (ms),4.096951484680176,45.963029861450195
FLOPs,59740672.0,28955776.0
Params,35236.0,13368.0
