subject,accuracy,config,params,latency_ms
1,85.34482758620689,"{'F1': 12, 'D': 1, 'dropout': 0.25, 'kernel': 64, 'tcn_kernel': 3, 'n_qubits': 8, 'n_layers': 2, 'lr_q': 0.0001, 'lr_c': 0.0007, 'aux_w': 0.3}",7176,7.287876359347639
2,61.206896551724135,"{'F1': 8, 'D': 1, 'dropout': 0.3, 'kernel': 64, 'tcn_kernel': 3, 'n_qubits': 10, 'n_layers': 2, 'lr_q': 0.0001, 'lr_c': 0.0007, 'aux_w': 0.3}",4218,7.607529903280324
3,94.82758620689656,"{'F1': 16, 'D': 1, 'dropout': 0.2, 'kernel': 64, 'tcn_kernel': 3, 'n_qubits': 8, 'n_layers': 2, 'lr_q': 0.0001, 'lr_c': 0.0007, 'aux_w': 0.3}",11344,6.459044999089734
4,62.93103448275862,"{'F1': 16, 'D': 1, 'dropout': 0.2, 'kernel': 64, 'tcn_kernel': 3, 'n_qubits': 8, 'n_layers': 2, 'lr_q': 0.0001, 'lr_c': 0.0007, 'aux_w': 0.2}",11344,6.591085729927853
5,44.82758620689656,"{'F1': 12, 'D': 1, 'dropout': 0.25, 'kernel': 64, 'tcn_kernel': 3, 'n_qubits': 10, 'n_layers': 4, 'lr_q': 0.0001, 'lr_c': 0.0007, 'aux_w': 0.3}",7446,14.740781537417707
6,56.896551724137936,"{'F1': 12, 'D': 1, 'dropout': 0.25, 'kernel': 64, 'tcn_kernel': 3, 'n_qubits': 8, 'n_layers': 3, 'lr_q': 0.0001, 'lr_c': 0.0007, 'aux_w': 0.2}",7184,11.059031404297928
7,85.34482758620689,"{'F1': 16, 'D': 1, 'dropout': 0.2, 'kernel': 64, 'tcn_kernel': 3, 'n_qubits': 6, 'n_layers': 2, 'lr_q': 5e-05, 'lr_c': 0.0005, 'aux_w': 0.3}",11078,6.637047077047414
8,90.51724137931036,"{'F1': 16, 'D': 1, 'dropout': 0.2, 'kernel': 64, 'tcn_kernel': 3, 'n_qubits': 6, 'n_layers': 2, 'lr_q': 5e-05, 'lr_c': 0.0005, 'aux_w': 0.2}",11078,6.50961029118505
9,88.79310344827587,"{'F1': 12, 'D': 1, 'dropout': 0.25, 'kernel': 64, 'tcn_kernel': 3, 'n_qubits': 10, 'n_layers': 2, 'lr_q': 5e-05, 'lr_c': 0.0005, 'aux_w': 0.2}",7426,8.524787837061387
