subject,accuracy,kappa,params,latency_ms,vram_MB,config
1,83.62068965517241,0.7816091954022988,35236,17.679929733276367,97.82470703125,"{'F1': 16, 'D': 2, 'dropout': 0.3, 'kernel': 64, 'tcn_kernel': 3}"
2,62.06896551724138,0.49425287356321834,55716,14.972448348999023,98.3896484375,"{'F1': 16, 'D': 2, 'dropout': 0.25, 'kernel': 64, 'tcn_kernel': 5}"
3,92.24137931034483,0.896551724137931,9684,4.134178161621094,98.3896484375,"{'F1': 8, 'D': 2, 'dropout': 0.25, 'kernel': 64, 'tcn_kernel': 3}"
4,60.3448275862069,0.47126436781609193,35236,9.456872940063477,98.3896484375,"{'F1': 16, 'D': 2, 'dropout': 0.3, 'kernel': 64, 'tcn_kernel': 3}"
5,37.06896551724138,0.16091954022988508,55716,5.089282989501953,98.3896484375,"{'F1': 16, 'D': 2, 'dropout': 0.25, 'kernel': 64, 'tcn_kernel': 5}"
6,58.620689655172406,0.4482758620689655,35236,5.145788192749023,98.3896484375,"{'F1': 16, 'D': 2, 'dropout': 0.3, 'kernel': 64, 'tcn_kernel': 3}"
7,79.3103448275862,0.7241379310344828,9428,6.259441375732422,98.3896484375,"{'F1': 8, 'D': 2, 'dropout': 0.3, 'kernel': 32, 'tcn_kernel': 3}"
8,86.20689655172413,0.8160919540229885,9428,4.292964935302734,98.3896484375,"{'F1': 8, 'D': 2, 'dropout': 0.3, 'kernel': 32, 'tcn_kernel': 3}"
9,89.65517241379311,0.8620689655172413,9684,3.852367401123047,98.3896484375,"{'F1': 8, 'D': 2, 'dropout': 0.3, 'kernel': 64, 'tcn_kernel': 3}"
