subject,acc_run1,kappa,params_run1,lat_run1,vram_MB,config,acc_run2,params_run2,lat_run2,acc_mean,acc_std,params_mean,lat_mean
1,85.84070796460178,0.8111946532999165,9684,3.864049911499024,82.8203125,"{'F1': 8, 'D': 2, 'dropout': 0.3, 'kernel': 64, 'tcn_kernel': 3}",83.62068965517241,35236,17.679929733276367,84.73069880988709,1.5697900009557981,22460.0,10.771989822387695
2,60.17699115044248,0.4684298557390759,35236,3.73530387878418,145.61279296875,"{'F1': 16, 'D': 2, 'dropout': 0.3, 'kernel': 64, 'tcn_kernel': 3}",62.06896551724138,55716,14.972448348999023,61.12297833384193,1.3378279045946253,45476.0,9.353876113891602
3,92.03539823008848,0.893796992481203,35236,3.6466121673583984,145.7080078125,"{'F1': 16, 'D': 2, 'dropout': 0.25, 'kernel': 64, 'tcn_kernel': 3}",92.24137931034484,9684,4.134178161621094,92.13838877021666,0.1456506186454059,22460.0,3.890395164489746
4,56.63716814159292,0.4241888519134775,35236,3.499746322631836,145.7080078125,"{'F1': 16, 'D': 2, 'dropout': 0.3, 'kernel': 64, 'tcn_kernel': 3}",60.3448275862069,35236,9.456872940063477,58.490997863899906,2.6217111356168896,35236.0,6.478309631347656
5,50.4424778761062,0.3387669801462906,35236,3.4952163696289062,145.7080078125,"{'F1': 16, 'D': 2, 'dropout': 0.3, 'kernel': 64, 'tcn_kernel': 3}",37.06896551724138,55716,5.089282989501953,43.75572169667379,9.456501277235416,45476.0,4.29224967956543
6,61.06194690265486,0.4805683242791474,35236,3.723621368408203,145.7080078125,"{'F1': 16, 'D': 2, 'dropout': 0.3, 'kernel': 64, 'tcn_kernel': 3}",58.620689655172406,35236,5.145788192749023,59.84131827891363,1.7262295543156492,35236.0,4.434704780578613
7,82.30088495575221,0.7639933166248956,35236,3.517389297485352,145.7080078125,"{'F1': 16, 'D': 2, 'dropout': 0.25, 'kernel': 64, 'tcn_kernel': 3}",79.3103448275862,9428,6.259441375732422,80.80561489166921,2.1146312040366677,22332.0,4.888415336608887
8,91.1504424778761,0.8819226750261233,35236,3.567218780517578,145.7080078125,"{'F1': 16, 'D': 2, 'dropout': 0.3, 'kernel': 64, 'tcn_kernel': 3}",86.20689655172413,9428,4.292964935302734,88.6786695148001,3.4956148474891893,22332.0,3.9300918579101562
9,83.1858407079646,0.7759340429972865,55716,3.736734390258789,145.7080078125,"{'F1': 16, 'D': 2, 'dropout': 0.25, 'kernel': 64, 'tcn_kernel': 5}",89.65517241379311,9684,3.852367401123047,86.42050656087886,4.5745083189364735,32700.0,3.794550895690918
